state,year,cat,category
Colorado,2007,0,Not Available
Colorado,2014,2,Home Improvement
Georgia,2007,0,Not Available
Georgia,2012,16,Motorcycle
Minnesota,2013,2,Home Improvement
New Mexico,2013,1,Debt Consolidation
Kansas,2013,1,Debt Consolidation
California,2013,2,Home Improvement
Illinois,2013,7,Other
Illinois,2013,7,Other
Maryland,2012,1,Debt Consolidation
Alabama,2014,1,Debt Consolidation
Arizona,2013,1,Debt Consolidation
Virginia,2013,1,Debt Consolidation
Florida,2012,13,Household Expenses
California,2013,6,Auto
Pennsylvania,2013,1,Debt Consolidation
Oregon,2013,1,Debt Consolidation
Minnesota,2013,1,Debt Consolidation
Michigan,2007,0,Not Available
New York,2013,1,Debt Consolidation
Illinois,2013,15,Medical/Dental
Louisiana,2013,1,Debt Consolidation
California,2013,15,Medical/Dental
New York,2013,1,Debt Consolidation
Colorado,2010,1,Debt Consolidation
Pennsylvania,2013,2,Home Improvement
Louisiana,2014,1,Debt Consolidation
California,2012,20,Wedding Loans
Wisconsin,2012,2,Home Improvement
New York,2014,1,Debt Consolidation
Illinois,2010,7,Other
Georgia,2014,1,Debt Consolidation
Ohio,2011,1,Debt Consolidation
Minnesota,2013,1,Debt Consolidation
North Carolina,2013,15,Medical/Dental
Illinois,2013,1,Debt Consolidation
Washington,2014,1,Debt Consolidation
Michigan,2012,7,Other
Kansas,2013,1,Debt Consolidation
Washington,2013,1,Debt Consolidation
Nevada,2013,1,Debt Consolidation
Illinois,2008,1,Debt Consolidation
Colorado,2013,1,Debt Consolidation
New Jersey,2013,1,Debt Consolidation
Nevada,2013,1,Debt Consolidation
Texas,2013,1,Debt Consolidation
Arkansas,2011,1,Debt Consolidation
Michigan,2013,1,Debt Consolidation
South Carolina,2013,1,Debt Consolidation
Wisconsin,2012,2,Home Improvement
Georgia,2013,1,Debt Consolidation
Illinois,2013,1,Debt Consolidation
New York,2012,1,Debt Consolidation
Illinois,2013,1,Debt Consolidation
Illinois,2007,0,Not Available
Illinois,2013,1,Debt Consolidation
Delaware,2013,19,Vacation
California,2007,0,Not Available
Missouri,2006,0,Not Available
New Jersey,2013,1,Debt Consolidation
California,2014,1,Debt Consolidation
Nebraska,2007,0,Not Available
California,2011,1,Debt Consolidation
Illinois,2014,1,Debt Consolidation
Maryland,2013,1,Debt Consolidation
California,2012,13,Household Expenses
Florida,2011,7,Other
Maryland,2013,1,Debt Consolidation
Florida,2011,7,Other
Kansas,2013,19,Vacation
Missouri,2006,0,Not Available
Virginia,2011,6,Auto
California,2008,3,Business
New York,2013,1,Debt Consolidation
Utah,2014,1,Debt Consolidation
District of Columbia,2012,1,Debt Consolidation
New York,2013,7,Other
Georgia,2012,7,Other
Massachusetts,2013,1,Debt Consolidation
Minnesota,2014,1,Debt Consolidation
Florida,2014,1,Debt Consolidation
Georgia,2012,1,Debt Consolidation
Colorado,2011,7,Other
Maryland,2012,6,Auto
Minnesota,2010,1,Debt Consolidation
Minnesota,2012,18,Taxes
Missouri,2012,7,Other
Texas,2014,1,Debt Consolidation
Florida,2012,1,Debt Consolidation
Georgia,2012,7,Other
Virginia,2014,1,Debt Consolidation
Missouri,2013,2,Home Improvement
California,2013,13,Household Expenses
Illinois,2008,1,Debt Consolidation
Maryland,2009,1,Debt Consolidation
Colorado,2012,3,Business
Connecticut,2013,1,Debt Consolidation
Wisconsin,2011,6,Auto
Illinois,2011,1,Debt Consolidation
Ohio,2012,1,Debt Consolidation
Georgia,2008,1,Debt Consolidation
Illinois,2010,1,Debt Consolidation
Pennsylvania,2010,7,Other
Indiana,2012,6,Auto
Alabama,2012,1,Debt Consolidation
Washington,2007,0,Not Available
Texas,2013,13,Household Expenses
Washington,2013,1,Debt Consolidation
California,2008,1,Debt Consolidation
California,2012,8,Baby&Adoption
Massachusetts,2013,1,Debt Consolidation
North Carolina,2014,1,Debt Consolidation
Georgia,2008,4,Personal Loan
New Jersey,2008,3,Business
Louisiana,2013,1,Debt Consolidation
North Carolina,2011,7,Other
New York,2014,1,Debt Consolidation
California,2008,1,Debt Consolidation
Florida,2006,0,Not Available
Texas,2013,7,Other
Texas,2013,2,Home Improvement
South Carolina,2008,1,Debt Consolidation
Missouri,2008,2,Home Improvement
Maryland,2012,11,Engagement Ring
Illinois,2013,1,Debt Consolidation
Kentucky,2013,1,Debt Consolidation
Connecticut,2008,3,Business
Wisconsin,2014,1,Debt Consolidation
Kentucky,2012,6,Auto
Kentucky,2012,2,Home Improvement
Maryland,2009,3,Business
Utah,2013,1,Debt Consolidation
Arizona,2008,7,Other
Ohio,2014,1,Debt Consolidation
Illinois,2012,18,Taxes
Washington,2013,1,Debt Consolidation
Oklahoma,2009,6,Auto
Illinois,2013,1,Debt Consolidation
New York,2014,1,Debt Consolidation
Colorado,2010,7,Other
New York,2012,2,Home Improvement
Michigan,2013,7,Other
Minnesota,2013,1,Debt Consolidation
Minnesota,2013,1,Debt Consolidation
California,2012,3,Business
Pennsylvania,2008,1,Debt Consolidation
New York,2012,3,Business
Oregon,2014,6,Auto
Oregon,2010,2,Home Improvement
Kansas,2014,1,Debt Consolidation
California,2013,1,Debt Consolidation
California,2006,0,Not Available
South Carolina,2012,1,Debt Consolidation
Illinois,2007,0,Not Available
California,2010,3,Business
Florida,2013,7,Other
Mississippi,2014,1,Debt Consolidation
Maryland,2013,1,Debt Consolidation
Indiana,2014,1,Debt Consolidation
Florida,2012,7,Other
Georgia,2010,3,Business
Washington,2007,0,Not Available
Mississippi,2013,1,Debt Consolidation
California,2014,1,Debt Consolidation
Washington,2014,3,Business
Georgia,2012,7,Other
Minnesota,2011,2,Home Improvement
Florida,2013,1,Debt Consolidation
North Carolina,2013,2,Home Improvement
Wisconsin,2012,2,Home Improvement
Louisiana,2012,7,Other
Missouri,2006,0,Not Available
California,2010,1,Debt Consolidation
Maryland,2012,2,Home Improvement
Ohio,2013,14,Large Purchases
Minnesota,2007,0,Not Available
New Jersey,2014,2,Home Improvement
Texas,2013,1,Debt Consolidation
California,2006,0,Not Available
Virginia,2013,1,Debt Consolidation
Arizona,2006,0,Not Available
Kentucky,2011,7,Other
Texas,2013,1,Debt Consolidation
New York,2012,19,Vacation
Florida,2011,1,Debt Consolidation
New York,2010,7,Other
North Carolina,2014,1,Debt Consolidation
Virginia,2011,3,Business
California,2007,0,Not Available
Massachusetts,2013,1,Debt Consolidation
Missouri,2013,1,Debt Consolidation
Oklahoma,2012,7,Other
Kansas,2014,1,Debt Consolidation
Florida,2014,1,Debt Consolidation
Arizona,2012,1,Debt Consolidation
West Virginia,2013,15,Medical/Dental
Georgia,2007,0,Not Available
Ohio,2013,1,Debt Consolidation
Oklahoma,2012,7,Other
Arizona,2007,0,Not Available
Virginia,2013,1,Debt Consolidation
Georgia,2007,0,Not Available
Texas,2013,1,Debt Consolidation
Georgia,2006,0,Not Available
Washington,2013,1,Debt Consolidation
New York,2010,1,Debt Consolidation
Texas,2007,0,Not Available
North Carolina,2013,2,Home Improvement
California,2007,4,Personal Loan
Florida,2013,1,Debt Consolidation
Wisconsin,2014,1,Debt Consolidation
California,2012,18,Taxes
New York,2007,0,Not Available
California,2013,7,Other
Texas,2013,1,Debt Consolidation
Virginia,2014,1,Debt Consolidation
Michigan,2013,1,Debt Consolidation
Colorado,2014,1,Debt Consolidation
Alabama,2014,1,Debt Consolidation
Florida,2012,2,Home Improvement
California,2013,1,Debt Consolidation
Rhode Island,2013,1,Debt Consolidation
Oregon,2013,1,Debt Consolidation
Arkansas,2013,1,Debt Consolidation
California,2013,2,Home Improvement
New York,2012,7,Other
Ohio,2012,2,Home Improvement
New Jersey,2008,7,Other
Florida,2010,1,Debt Consolidation
New Jersey,2014,1,Debt Consolidation
Florida,2013,14,Large Purchases
New York,2012,1,Debt Consolidation
California,2013,1,Debt Consolidation
Florida,2009,1,Debt Consolidation
Georgia,2007,0,Not Available
Washington,2006,0,Not Available
Illinois,2006,0,Not Available
Missouri,2006,0,Not Available
Illinois,2010,1,Debt Consolidation
Massachusetts,2013,1,Debt Consolidation
Alabama,2010,7,Other
New York,2013,7,Other
New York,2014,1,Debt Consolidation
Virginia,2008,1,Debt Consolidation
Colorado,2008,1,Debt Consolidation
Pennsylvania,2011,1,Debt Consolidation
Ohio,2008,2,Home Improvement
Missouri,2012,1,Debt Consolidation
New York,2012,6,Auto
Minnesota,2007,0,Not Available
Colorado,2012,1,Debt Consolidation
Virginia,2012,1,Debt Consolidation
Maryland,2011,1,Debt Consolidation
Mississippi,2012,7,Other
Ohio,2010,1,Debt Consolidation
New York,2012,1,Debt Consolidation
Michigan,2007,2,Home Improvement
New Jersey,2011,6,Auto
California,2007,0,Not Available
California,2014,7,Other
Texas,2012,1,Debt Consolidation
Massachusetts,2014,1,Debt Consolidation
Wisconsin,2014,1,Debt Consolidation
North Carolina,2012,15,Medical/Dental
California,2012,18,Taxes
Maryland,2012,3,Business
Michigan,2013,1,Debt Consolidation
Texas,2011,1,Debt Consolidation
